9
16 10 490 261 878 1043 6 632 130
0 17 253 150 431 389 6 343 517
24 66 572 703 321 6 236 7 9
24 17 695 1878 102 916 349 6 74
0 17 398 431 255 6 70 7 15
0 17 325 206 4 795 25 277 23
24 10 18 231 159 542 879 1041 23
16 1 325 4 6 130 7 429 15
24 17 453 261 512 6 75 7 9
0 66 56 1463 6 130 7 329 23
0 66 431 549 535 1068 283 879 15
16 66 1783 153 594 349 638 624 9
16 10 165 187 313 1243 188 6 130
0 1 261 191 1103 6 1002 7 9
47 261 109 25 4 451 405 1078 65
24 10 354 287 85 599 6 434 7
0 17 453 408 1043 202 6 434 130
0 66 325 313 1834 83 1435 96 23
0 10 109 133 198 182 1783 6 130
0 1 111 196 336 1229 898 6 1146
16 10 261 187 878 178 405 60 15
0 66 624 290 6 79 7 1056 23
24 1 796 163 6 632 7 339 15
16 10 501 6 74 7 560 230 15
0 66 821 2103 901 61 59 25 15
0 17 5 336 116 6 130 7 23
16 66 961 165 481 231 6 577 74
16 1 315 803 102 196 310 6 744
0 10 21 6 905 7 765 446 23
24 1 538 357 348 435 542 156 15
0 10 78 187 116 244 6 632 7
0 66 431 153 34 21 6 112 344
0 17 29 68 21 537 154 6 344
24 17 602 629 765 290 269 6 448
16 1 1060 6 1506 279 41 1305 52
0 66 1450 501 1311 180 338 6 1217
24 10 145 403 78 83 290 19 2593
0 17 845 1630 1346 417 148 6 74
24 17 278 5 666 83 21 551 23
0 17 6 1506 978 74 1342 7 23
24 10 865 387 6 819 7 181 9
0 10 6 1104 7 153 478 6 74
47 738 6 2245 52 25 51 344 1814
16 66 1423 6 246 786 2598 7 23
24 17 315 2541 67 6 70 7 23
24 17 191 512 6 70 7 370 23
24 1 261 338 1385 25 6 136 1785
16 10 6 1896 7 865 878 901 23
16 66 1783 1147 446 332 270 6 74
0 17 325 336 878 450 6 1258 444
0 1 209 1031 6 343 7 1005 9
24 17 6 2228 386 7 29 1056 23
0 1 643 315 370 447 1121 408 23
16 1 3 431 475 140 21 684 23
24 66 1450 878 608 116 275 83 15
16 17 573 435 624 514 316 6 344
0 17 4 191 165 187 6 343 517
0 1 240 90 152 302 30 6 130
0 12 34 83 316 53 6 434 7
47 1340 336 403 821 403 221 51 1378
0 10 253 60 6 130 7 370 23
0 1 938 478 85 6 552 7 23
24 10 158 803 20 270 83 101 23
16 1 5 466 315 178 700 194 23
24 907 535 182 6 130 7 126 23
16 1 1058 535 6 98 7 916 9
0 1 90 496 6 893 7 90 23
24 66 165 78 690 514 4 216 15
0 66 244 209 717 907 490 611 15
16 10 2138 1058 208 429 6 681 7
0 17 101 210 349 530 583 6 74
0 17 178 949 19 710 85 349 23
0 1 6 908 391 283 649 83 15
0 66 245 6 74 7 1030 101 15
0 66 205 614 535 163 140 57 23
0 66 6 130 7 347 249 20 23
0 66 1783 1016 145 197 427 163 15
16 17 2068 19 703 6 74 7 9
0 66 446 19 21 358 67 6 160
16 10 6 1720 7 736 295 313 9
24 10 198 40 907 1374 6 632 7
24 1 4 703 250 332 560 6 366
24 10 674 501 2129 6 822 7 9
16 17 256 493 89 21 194 1199 9
16 17 453 295 1783 610 1328 6 320
16 17 253 60 1783 1330 277 83 23
0 17 113 191 1310 4 6 343 130
24 17 315 1083 243 4 96 44 15
16 609 1783 1384 431 1330 91 2272 23
0 1 1899 201 12 83 530 27 9
24 17 1463 6 41 7 626 25 23
24 17 387 1090 6 1100 7 83 23
0 10 1177 269 6 328 7 197 15
16 10 56 430 446 314 46 6 577
24 17 109 89 19 139 156 316 9
24 66 109 626 102 168 542 625 23
0 6 1303 7 4 451 1297 329 9
47 191 648 1864 51 108 52 4 65
0 66 938 172 359 986 497 6 41
16 17 742 318 6 444 7 12 23
0 10 1081 431 78 6 70 7 15
24 66 512 336 1330 1311 1345 791 23
0 10 1311 255 6 41 7 61 23
0 1 1311 1617 40 325 6 890 7
0 17 453 253 83 376 453 178 23
0 10 354 82 6 936 7 101 15
0 10 187 150 1783 590 275 60 23
0 66 377 493 1071 316 478 6 366
0 17 878 944 20 53 230 28 15
16 66 309 537 325 332 152 408 23
16 1 451 315 387 986 1547 6 1046
